company,SUM(total_laid_off)
Amazon,18150
Google,12000
Meta,11000
Salesforce,10090
Microsoft,10000
Philips,10000
Ericsson,8500
Uber,7585
Dell,6650
Booking.com,4601
Cisco,4100
Peloton,4084
Byju's,4000
Carvana,4000
Twitter,3940
Better.com,3900
IBM,3900
Groupon,3800
Bytedance,3750
Katerra,3074
SAP,3000
Swiggy,2880
Wayfair,2620
Ola,2600
Gopuff,2300
Twilio,2300
Zillow,2300
Crypto.com,2260
Coinbase,2110
"WhiteHat Jr",2100
PayPal,2083
Airbnb,1930
Instacart,1877
OYO,1850
Lyft,1742
"Stitch Fix",1730
Yahoo,1600
Redfin,1568
Agoda,1500
"OLX Group",1500
PaisaBazaar,1500
PuduTech,1500
Unacademy,1500
DocuSign,1351
"GoTo Group",1300
Juul,1300
"Lam Research",1300
Stone,1300
Toast,1300
Vacasa,1300
Zoom,1300
Loft,1289
Snap,1280
DoorDash,1250
Shutterfly,1160
Opendoor,1150
Shopify,1150
WeWork,1150
Vedantu,1109
"Capital One",1100
Kraken,1100
MindBody,1100
OneTrust,1100
Compass,1096
Doma,1075
Yelp,1063
Robinhood,1053
Stripe,1050
"Butler Hospitality",1000
Invitae,1000
"Magic Leap",1000
Noom,995
GoDaddy,981
LinkedIn,960
NetApp,960
Curefit,920
"Black Shark",900
Jumia,900
TripAdvisor,900
Vroom,882
Rivian,880
Blend,860
Playtika,850
Gorillas,840
Arrival,800
GoHealth,800
Klarna,800
Loggi,800
"Flywheel Sports",784
Cazoo,750
Reef,750
Sema4,750
Sonder,750
Deliveroo,717
Intuit,715
ShareChat,701
Amdocs,700
MakeMyTrip,700
Cerebral,685
"Lending Club",685
"Argo AI",682
Deliv,669
Meesho,650
"Misfits Market",649
Flexport,640
"Clear Capital",628
Zomato,620
HelloFresh,611
Bybit,600
Cars24,600
MFine,600
Spotify,600
Eventbrite,580
Huobi,575
Cue,558
"Delivery Hero",556
Infarm,550
Bird,544
Intel,544
Careem,536
Udaan,530
Workday,525
Hootsuite,520
Netflix,505
Upstart,505
Affirm,500
Atlassian,500
Avo,500
Blackbaud,500
eBay,500
Flyhomes,500
HubSpot,500
Illumina,500
Jump,500
Lendingkart,500
PagBank,500
Paytm,500
Thoughtworks,500
TomTom,500
WeDoctor,500
Bounce,490
Unity,484
SiriusXM,475
Wix,470
Gympass,467
"Root Insurance",467
"The RealReal",465
OneWeb,451
UiPath,451
"Carbon Health",450
Informatica,450
Livspace,450
Olive,450
Sophos,450
Workrise,450
Gojek,430
Zendesk,430
Thumbtack,410
Ebanx,402
Alerzo,400
"AliExpress Russia",400
Cvent,400
Enjoy,400
ezCater,400
Kry,400
Oriente,400
"Pico Interactive",400
Pluralsight,400
SWVL,400
ZipRecruiter,400
Splunk,395
Renmoney,391
"Just Eat Takeaway",390
Hopin,380
CommerceHub,371
Grab,360
Moladin,360
"Velodyne Lidar",360
8x8,355
iFood,355
Meero,350
Sea,350
SkipTheDishes,350
Toppr,350
TuSimple,350
KeepTruckin,349
FarEye,340
"Sage Therapeutics",340
Wish,340
Innovaccer,335
Latch,335
Luno,330
Freshly,329
Truepill,325
Okta,324
Dropbox,315
"Fate Therapeutics",315
Bolt,307
Nuro,307
Ribbon,306
AppLovin,300
"Color Health",300
Cybereason,300
Glassdoor,300
GoStudent,300
iFit,300
Klook,300
Lacework,300
"Lightspeed Commerce",300
Proterra,300
Samsara,300
"SAP Labs",300
SEND,300
Skyscanner,300
Sojern,300
"Sono Motors",300
StockX,300
"Teladoc Health",300
Tencent,300
Trax,300
Trell,300
TripActions,300
Wave,300
"Wildlife Studios",300
"New Relic",290
Monzo,285
Neon,280
RenoRun,280
FrontRow,275
Bitpanda,270
BookMyShow,270
DataRobot,270
Nutanix,270
Qualtrics,270
Pollen,269
Voi,265
Tonal,262
"Automation Anywhere",260
Blockchain.com,260
Facily,260
Plaid,260
"Tier Mobility",260
Everlane,257
Airtable,254
"Western Digital",251
Autodesk,250
B8ta,250
"Big Fish Games",250
BlockFi,250
Glovo,250
HOOQ,250
Houzz,250
Magicbricks,250
Mozilla,250
"OLX India",250
Stoqo,250
Swappie,250
TravelTriangle,250
Verily,250
Glossier,249
QuintoAndar,248
Pegasystems,245
SoundHound,245
ThredUp,243
"Beyond Meat",240
NS8,240
Inspirato,239
TaskUs,238
Motive,237
Clearco,235
"Recur Forever",235
"Embark Trucks",230
Rupeek,230
Snyk,228
Hotmart,227
Clutch,226
iRobot,225
AvantStay,224
LivePerson,223
Electric,222
Confluent,221
ServiceTitan,221
"Stay Alfred",221
Bizzabo,220
Zoox,220
Ritual,219
TrueCar,219
Kitopi,217
"Zeus Living",217
Article,216
"Olive AI",215
Intercom,212
OneFootball,212
SecureWorks,212
Twiga,211
AdRoll,210
Oda,210
Waymo,209
Jellysmack,208
Britishvolt,206
"Meow Wolf",201
BlackBuck,200
Booksy,200
CarDekho,200
"Daniel Wellington",200
DigitalOcean,200
"Electronic Arts",200
EverBridge,200
Fareportal,200
Flymya,200
GoPro,200
Hirect,200
"Jam City",200
JD.ID,200
LendingTree,200
MediBuddy,200
Merative,200
MX,200
MyGate,200
Ninjacart,200
Oracle,200
PayFit,200
Planetly,200
Roku,200
Shop101,200
Smava,200
"Software AG",200
StubHub,200
Synamedia,200
VTEX,200
Wayflyer,200
Yellow.ai,200
Zenius,200
Zume,200
Zymergen,200
MasterClass,199
Brex,198
Glints,198
Rover,194
CityMall,191
ConsenSys,191
2TM,190
Clear,190
Dock,190
"Integral Ad Science",190
McMakler,190
Asana,180
BigCommerce,180
Bitso,180
BuzzFeed,180
Furlenco,180
Konfio,180
Momentive,180
Orchard,180
Postmates,180
Procore,180
Xiaohongshu,180
Zscaler,177
Alice,176
